Main_Tag,Page,Symm_Diff
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/admin/viewSkills"" id=""menu_admin_viewSkills"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/admin/viewSystemUsers"" id=""menu_admin_viewSystemUsers"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/admin/workShift"" id=""menu_admin_workShift"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/attendance/configure"" id=""menu_attendance_configure"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/attendance/punchIn"" id=""menu_attendance_punchIn"">",_dashboard,hist_minus_curr
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/attendance/viewAttendanceRecord"" id=""menu_attendance_viewAttendanceRecord"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/attendance/viewMyAttendanceRecord"" id=""menu_attendance_viewMyAttendanceRecord"">",_dashboard,hist_minus_curr
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/core/viewDefinedPredefinedReports/reportGroup/3/reportType/PIM_DEFINED"" id=""menu_core_viewDefinedPredefinedReports"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/leave/applyLeave"" target=""_self"">",_dashboard,hist_minus_curr
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/leave/assignLeave"" target=""_self"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/leave/viewLeaveList"" target=""_self"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/leave/viewMyLeaveList"" target=""_self"">",_dashboard,hist_minus_curr
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/performance/addPerformanceTracker"" id=""menu_performance_addPerformanceTracker"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/performance/myPerformanceReview"" id=""menu_performance_myPerformanceReview"">",_dashboard,hist_minus_curr
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/performance/searchEvaluatePerformancReview"" id=""menu_performance_searchEvaluatePerformancReview"">",_dashboard,hist_minus_curr
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/performance/searchKpi"" id=""menu_performance_searchKpi"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/performance/searchPerformancReview"" id=""menu_performance_searchPerformancReview"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/performance/viewMyPerformanceTrackerList"" id=""menu_performance_viewMyPerformanceTrackerList"">",_dashboard,hist_minus_curr
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/pim/addEmployee"" id=""menu_pim_addEmployee"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/pim/configurePim"" id=""menu_pim_configurePim"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/pim/listCustomFields"" id=""menu_pim_listCustomFields"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/pim/viewEmployeeList/reset/1"" id=""menu_pim_viewEmployeeList"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/pim/viewReportingMethods"" id=""menu_pim_viewReportingMethods"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/pim/viewTerminationReasons"" id=""menu_pim_viewTerminationReasons"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/recruitment/viewCandidates"" id=""menu_recruitment_viewCandidates"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/recruitment/viewJobVacancy"" id=""menu_recruitment_viewJobVacancy"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/time/displayAttendanceSummaryReportCriteria?reportId=4"" id=""menu_time_displayAttendanceSummaryReportCriteria"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/time/displayEmployeeReportCriteria?reportId=2"" id=""menu_time_displayEmployeeReportCriteria"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/time/displayProjectReportCriteria?reportId=1"" id=""menu_time_displayProjectReportCriteria"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/time/viewEmployeeTimesheet"" id=""menu_time_viewEmployeeTimesheet"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/time/viewEmployeeTimesheet"" target=""_self"">",_dashboard,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm/symfony/web/index.php/time/viewMyTimesheet"" id=""menu_time_viewMyTimesheet"">",_dashboard,hist_minus_curr
