Main_Tag,Page,Symm_Diff
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""csrf_token"" name=""_csrf_token"" type=""hidden"" value=""1ca93d92def9de44026268a30d83ff08"" />",_auth_login,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""csrf_token"" name=""_csrf_token"" type=""hidden"" value=""27ed587bfd62bfd0e98c92f2061baf4c"" />",_auth_login,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""csrf_token"" name=""_csrf_token"" type=""hidden"" value=""d0bec637d36f21c50efdc7922028fb22"" />",_auth_login,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""csrf_token"" name=""_csrf_token"" type=""hidden"" value=""e684119de31a1f057d42c77362ea49f7"" />",_auth_login,curr_minus_hist
