,Parent_Count,Char_Count,Main_Tag,Main_Tag_Char_Count,Main_Tag_Name,Main_Tag_Attributes,Tag_Count_html:label,Tag_Count_html:body,Tag_Count_html:link,Tag_Count_path,Tag_Count_html:ol,Tag_Count_html:a,Tag_Count_html:p,Tag_Count_html:b,Tag_Count_html:td,Tag_Count_html:li,Tag_Count_html:input,Tag_Count_html:table,Tag_Count_animatetransform,Tag_Count_html:head,Tag_Count_html:meta,Tag_Count_html:html,Tag_Count_html:div,Tag_Count_html:em,Tag_Count_html:tr,Tag_Count_html:span,Tag_Count_html:br,Tag_Count_html:ul,Tag_Count_html:form,Tag_Count_html:tbody,Tag_Count_html:title,Tag_Count_html:script,Tag_Count_html:img,Tag_Count_html:style,Tag_Count_svg,Tag_Count_html:fieldset,Tag_Count_html:th,Tag_Count_html:h1,Tag_Count_html:thead,Tag_Count_html:h3,Attr_lang,Attr_content,Attr_href,Attr_rel,Attr_type,Attr_src,Attr_media,Attr_id,Attr_target,Attr_alt,Attr_height,Attr_width,Attr_class,Attr_value,Attr_action,Attr_enctype,Attr_method,Attr_name,Attr_language,Attr_title,Attr_style,Attr_version,Attr_viewbox,Attr_x,Attr_y,Attr_d,Attr_fill,Attr_attributename,Attr_attributetype,Attr_dur,Attr_from,Attr_repeatcount,Attr_to,Attr_onclick,Attr_for,Attr_maxlength,Attr_rowspan
1040,13,140,"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""ohrmList_chkSelectRecord_156"" name=""chkSelectRow[]"" type=""checkbox"" value=""156"" />",140,html:input,"['id=""ohrmList_chkSelectRecord_156""', 'name=""chkSelectRow[]""', 'type=""checkbox""', 'value=""156""']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,checkbox,,,ohrmList_chkSelectRecord_156,,,,,,156,,,,chkSelectRow[],,,,,,,,,,,,,,,,,,,
1041,12,119,"<html:td xmlns:html=""http://www.w3.org/1999/xhtml"" class=""left"">",64,html:td,"['class=""left""']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,left,,,,,,,,,,,,,,,,,,,,,,,,
1042,13,85,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""javascript:"">",69,html:a,"['href=""javascript:""']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,javascript:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,11,276,"<html:tr xmlns:html=""http://www.w3.org/1999/xhtml"" class=""odd"">",63,html:tr,"['class=""odd""']",0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,odd,,,,,,,,,,,,,,,,,,,,,,,,
1044,12,159,"<html:td xmlns:html=""http://www.w3.org/1999/xhtml"">",51,html:td,[],0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,13,140,"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""ohrmList_chkSelectRecord_157"" name=""chkSelectRow[]"" type=""checkbox"" value=""157"" />",140,html:input,"['id=""ohrmList_chkSelectRecord_157""', 'name=""chkSelectRow[]""', 'type=""checkbox""', 'value=""157""']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,checkbox,,,ohrmList_chkSelectRecord_157,,,,,,157,,,,chkSelectRow[],,,,,,,,,,,,,,,,,,,
1046,12,123,"<html:td xmlns:html=""http://www.w3.org/1999/xhtml"" class=""left"">",64,html:td,"['class=""left""']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,left,,,,,,,,,,,,,,,,,,,,,,,,
1047,13,89,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""javascript:"">",69,html:a,"['href=""javascript:""']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,javascript:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,11,280,"<html:tr xmlns:html=""http://www.w3.org/1999/xhtml"" class=""even"">",64,html:tr,"['class=""even""']",0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,even,,,,,,,,,,,,,,,,,,,,,,,,
1049,12,159,"<html:td xmlns:html=""http://www.w3.org/1999/xhtml"">",51,html:td,[],0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
