,Parent_Count,Char_Count,Main_Tag,Main_Tag_Char_Count,Main_Tag_Name,Main_Tag_Attributes,Tag_Count_html:label,Tag_Count_html:body,Tag_Count_html:link,Tag_Count_path,Tag_Count_html:ol,Tag_Count_html:a,Tag_Count_html:p,Tag_Count_html:b,Tag_Count_html:li,Tag_Count_html:input,Tag_Count_animatetransform,Tag_Count_html:head,Tag_Count_html:meta,Tag_Count_html:html,Tag_Count_html:div,Tag_Count_html:em,Tag_Count_html:span,Tag_Count_html:br,Tag_Count_html:ul,Tag_Count_html:form,Tag_Count_html:title,Tag_Count_html:script,Tag_Count_html:select,Tag_Count_html:img,Tag_Count_html:style,Tag_Count_svg,Tag_Count_html:fieldset,Tag_Count_html:h1,Tag_Count_html:h3,Attr_lang,Attr_content,Attr_href,Attr_rel,Attr_type,Attr_src,Attr_media,Attr_id,Attr_target,Attr_alt,Attr_height,Attr_width,Attr_class,Attr_value,Attr_action,Attr_enctype,Attr_method,Attr_name,Attr_language,Attr_title,Attr_style,Attr_version,Attr_viewbox,Attr_x,Attr_y,Attr_d,Attr_fill,Attr_attributename,Attr_attributetype,Attr_dur,Attr_from,Attr_repeatcount,Attr_to,Attr_onclick,Attr_for,Attr_maxlength
25,1,37341,"<html:body xmlns:html=""http://www.w3.org/1999/xhtml"" xmlns:ns1=""http://www.w3.org/2000/svg"">",92,html:body,[],4,1,1,1,5,67,5,9,74,8,1,0,0,0,22,1,1,2,22,2,0,6,3,1,2,1,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2,33495,"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" xmlns:ns1=""http://www.w3.org/2000/svg"" id=""wrapper"">",104,html:div,"['id=""wrapper""']",4,0,1,1,5,66,5,9,74,8,1,0,0,0,21,1,1,1,22,2,0,5,3,1,2,1,6,1,2,,,,,,,,wrapper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,10172,"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" xmlns:ns1=""http://www.w3.org/2000/svg"" id=""branding"">",105,html:div,"['id=""branding""']",0,0,0,1,0,7,5,0,7,3,1,0,0,0,14,0,0,0,2,1,0,3,0,1,1,1,0,0,2,,,,,,,,branding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4,261,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""http://www.orangehrm.com/"" target=""_blank"">",99,html:a,"['href=""http://www.orangehrm.com/""', 'target=""_blank""']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,http://www.orangehrm.com/,,,,,,_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,5,191,"<html:img xmlns:html=""http://www.w3.org/1999/xhtml"" alt=""OrangeHRM"" height=""56"" src=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/images/logo.png"" width=""283"" />",191,html:img,"['alt=""OrangeHRM""', 'height=""56""', 'src=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/images/logo.png""', 'width=""283""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/images/logo.png,,,,OrangeHRM,56,283,,,,,,,,,,,,,,,,,,,,,,,,
30,4,117,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""panelTrigger"" href=""#"" id=""welcome"">",93,html:a,"['class=""panelTrigger""', 'href=""#""', 'id=""welcome""']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,#,,,,,welcome,,,,,panelTrigger,,,,,,,,,,,,,,,,,,,,,,,
31,4,157,"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" id=""MP_btn"">",64,html:div,"['id=""MP_btn""']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,MP_btn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,5,120,"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" class=""button"" id=""MP_link"" type=""button"" value=""Marketplace"" />",118,html:input,"['class=""button""', 'id=""MP_link""', 'type=""button""', 'value=""Marketplace""']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,button,,,MP_link,,,,,button,Marketplace,,,,,,,,,,,,,,,,,,,,,,
33,4,192,"<html:script xmlns:html=""http://www.w3.org/1999/xhtml"">",55,html:script,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4,2991,"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" class=""panelContainer"" id=""welcome-menu"">",93,html:div,"['class=""panelContainer""', 'id=""welcome-menu""']",0,0,0,0,0,4,4,0,7,0,0,0,0,0,5,0,0,0,2,1,0,1,0,0,0,0,0,0,1,,,,,,,,welcome-menu,,,,,panelContainer,,,,,,,,,,,,,,,,,,,,,,,
35,5,2925,"<html:ul xmlns:html=""http://www.w3.org/1999/xhtml"">",51,html:ul,[],0,0,0,0,0,4,4,0,7,0,0,0,0,0,4,0,0,0,2,1,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,6,2676,"<html:li xmlns:html=""http://www.w3.org/1999/xhtml"">",51,html:li,[],0,0,0,0,0,2,4,0,5,0,0,0,0,0,4,0,0,0,1,1,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7,118,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" data-dismiss=""modal"" href=""#"" id=""aboutDisplayLink"">",102,html:a,"['href=""#""', 'id=""aboutDisplayLink""']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,#,,,,,aboutDisplayLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,
