,Parent_Count,Char_Count,Main_Tag,Main_Tag_Char_Count,Main_Tag_Name,Main_Tag_Attributes,Tag_Count_html:body,Tag_Count_html:link,Tag_Count_path,Tag_Count_html:a,Tag_Count_html:p,Tag_Count_html:b,Tag_Count_html:td,Tag_Count_html:li,Tag_Count_html:input,Tag_Count_html:table,Tag_Count_animatetransform,Tag_Count_html:head,Tag_Count_html:meta,Tag_Count_html:html,Tag_Count_html:div,Tag_Count_html:tr,Tag_Count_html:span,Tag_Count_html:br,Tag_Count_html:ul,Tag_Count_html:form,Tag_Count_html:tbody,Tag_Count_html:title,Tag_Count_html:script,Tag_Count_html:img,Tag_Count_html:style,Tag_Count_svg,Tag_Count_html:th,Tag_Count_html:h1,Tag_Count_html:thead,Tag_Count_html:h3,Attr_lang,Attr_content,Attr_href,Attr_rel,Attr_type,Attr_src,Attr_media,Attr_id,Attr_target,Attr_alt,Attr_height,Attr_width,Attr_class,Attr_value,Attr_action,Attr_enctype,Attr_method,Attr_name,Attr_language,Attr_title,Attr_style,Attr_version,Attr_viewbox,Attr_x,Attr_y,Attr_d,Attr_fill,Attr_attributename,Attr_attributetype,Attr_dur,Attr_from,Attr_repeatcount,Attr_to,Attr_onclick,Attr_rowspan,Attr_colspan
127,9,211,"<html:li xmlns:html=""http://www.w3.org/1999/xhtml"">",51,html:li,[],0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,10,190,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm-4.3.1/symfony/web/index.php/admin/listMailConfiguration"" id=""menu_admin_listMailConfiguration"">",162,html:a,"['href=""/orangehrm-4.3.1/symfony/web/index.php/admin/listMailConfiguration""', 'id=""menu_admin_listMailConfiguration""']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,/orangehrm-4.3.1/symfony/web/index.php/admin/listMailConfiguration,,,,,menu_admin_listMailConfiguration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,9,211,"<html:li xmlns:html=""http://www.w3.org/1999/xhtml"">",51,html:li,[],0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,10,190,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm-4.3.1/symfony/web/index.php/admin/viewEmailNotification"" id=""menu_admin_viewEmailNotification"">",162,html:a,"['href=""/orangehrm-4.3.1/symfony/web/index.php/admin/viewEmailNotification""', 'id=""menu_admin_viewEmailNotification""']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,/orangehrm-4.3.1/symfony/web/index.php/admin/viewEmailNotification,,,,,menu_admin_viewEmailNotification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,9,186,"<html:li xmlns:html=""http://www.w3.org/1999/xhtml"">",51,html:li,[],0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,10,165,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm-4.3.1/symfony/web/index.php/admin/localization"" id=""menu_admin_localization"">",144,html:a,"['href=""/orangehrm-4.3.1/symfony/web/index.php/admin/localization""', 'id=""menu_admin_localization""']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,/orangehrm-4.3.1/symfony/web/index.php/admin/localization,,,,,menu_admin_localization,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,9,179,"<html:li xmlns:html=""http://www.w3.org/1999/xhtml"">",51,html:li,[],0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,10,158,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm-4.3.1/symfony/web/index.php/admin/viewModules"" id=""menu_admin_viewModules"">",142,html:a,"['href=""/orangehrm-4.3.1/symfony/web/index.php/admin/viewModules""', 'id=""menu_admin_viewModules""']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,/orangehrm-4.3.1/symfony/web/index.php/admin/viewModules,,,,,menu_admin_viewModules,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,9,205,"<html:li xmlns:html=""http://www.w3.org/1999/xhtml"">",51,html:li,[],0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,10,184,"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm-4.3.1/symfony/web/index.php/admin/openIdProvider"" id=""menu_admin_openIdProvider"">",148,html:a,"['href=""/orangehrm-4.3.1/symfony/web/index.php/admin/openIdProvider""', 'id=""menu_admin_openIdProvider""']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,/orangehrm-4.3.1/symfony/web/index.php/admin/openIdProvider,,,,,menu_admin_openIdProvider,,,,,,,,,,,,,,,,,,,,,,,,,,,,
