,Parent_Count,Char_Count,Main_Tag,Main_Tag_Char_Count,Main_Tag_Name,Main_Tag_Attributes,Tag_Count_html:body,Tag_Count_html:link,Tag_Count_path,Tag_Count_html:a,Tag_Count_html:p,Tag_Count_html:b,Tag_Count_html:td,Tag_Count_html:li,Tag_Count_html:input,Tag_Count_html:table,Tag_Count_animatetransform,Tag_Count_html:head,Tag_Count_html:meta,Tag_Count_html:html,Tag_Count_html:div,Tag_Count_html:tr,Tag_Count_html:span,Tag_Count_html:br,Tag_Count_html:ul,Tag_Count_html:form,Tag_Count_html:tbody,Tag_Count_html:title,Tag_Count_html:script,Tag_Count_html:img,Tag_Count_html:style,Tag_Count_svg,Tag_Count_html:th,Tag_Count_html:h1,Tag_Count_html:thead,Tag_Count_html:h3,Attr_lang,Attr_content,Attr_href,Attr_rel,Attr_type,Attr_src,Attr_media,Attr_id,Attr_target,Attr_alt,Attr_height,Attr_width,Attr_class,Attr_value,Attr_action,Attr_enctype,Attr_method,Attr_name,Attr_language,Attr_title,Attr_style,Attr_version,Attr_viewbox,Attr_x,Attr_y,Attr_d,Attr_fill,Attr_attributename,Attr_attributetype,Attr_dur,Attr_from,Attr_repeatcount,Attr_to,Attr_onclick,Attr_colspan,Attr_rowspan
267,12,95,"<html:span xmlns:html=""http://www.w3.org/1999/xhtml"" class=""headerCell"">",72,html:span,"['class=""headerCell""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,headerCell,,,,,,,,,,,,,,,,,,,,,,,
268,11,153,"<html:th xmlns:html=""http://www.w3.org/1999/xhtml"" rowspan=""1"" style=""width:200"">",81,html:th,"['rowspan=""1""', 'style=""width:200""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,width:200,,,,,,,,,,,,,,,1
269,12,102,"<html:span xmlns:html=""http://www.w3.org/1999/xhtml"" class=""headerCell"">",72,html:span,"['class=""headerCell""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,headerCell,,,,,,,,,,,,,,,,,,,,,,,
270,11,154,"<html:th xmlns:html=""http://www.w3.org/1999/xhtml"" rowspan=""1"" style=""width:200"">",81,html:th,"['rowspan=""1""', 'style=""width:200""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,width:200,,,,,,,,,,,,,,,1
271,12,103,"<html:span xmlns:html=""http://www.w3.org/1999/xhtml"" class=""headerCell"">",72,html:span,"['class=""headerCell""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,headerCell,,,,,,,,,,,,,,,,,,,,,,,
272,11,155,"<html:th xmlns:html=""http://www.w3.org/1999/xhtml"" rowspan=""1"" style=""width:200"">",81,html:th,"['rowspan=""1""', 'style=""width:200""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,width:200,,,,,,,,,,,,,,,1
273,12,104,"<html:span xmlns:html=""http://www.w3.org/1999/xhtml"" class=""headerCell"">",72,html:span,"['class=""headerCell""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,headerCell,,,,,,,,,,,,,,,,,,,,,,,
274,11,148,"<html:th xmlns:html=""http://www.w3.org/1999/xhtml"" rowspan=""1"" style=""width:100"">",81,html:th,"['rowspan=""1""', 'style=""width:100""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,width:100,,,,,,,,,,,,,,,1
275,12,97,"<html:span xmlns:html=""http://www.w3.org/1999/xhtml"" class=""headerCell"">",72,html:span,"['class=""headerCell""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,headerCell,,,,,,,,,,,,,,,,,,,,,,,
276,11,146,"<html:th xmlns:html=""http://www.w3.org/1999/xhtml"" rowspan=""1"" style=""width:200"">",81,html:th,"['rowspan=""1""', 'style=""width:200""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,width:200,,,,,,,,,,,,,,,1
